"IP Address","Port","Transport","Service","Operating System","Country","Country Code","City","Longitude","Latitude","Ransom Letter"
"181.117.240.8",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.14393)","Argentina","AR","Villa Sarmiento",-58.57047,-34.63364,"Hi!
Your unique ID is:
M6sFGoLVu8znqmOip2 Pyxqnl6Jj9x-3arLcsQm2Doplatishilidrochishfear.pw
All your files are encrypted and to solve it need to pay
Before payment I can decrypt 1-2 small examples as proof to show you thats working
My mail is platishilidrochishfear.pw
Also I have a Jabber LIVE MESSENGER if you want to solve it all fast
How to install and use
https:pidgin.iminstall
Download and install it on your server
Open Pidgin
Press Add
Choose protocol - must be XMPP
In Usemame - choose your unique login
In domain put this - yax.im
Resource - Work
Password - Choose your own password
Check mark on remember password
Also check mark on CREATE THIS NEW ACCOUNT ON THE SERVER
After it will ask your credentials put them again
Press on Buddies buttom
Add a buddy, field with buddy username write - platishilidrochishyax.im
press add
Press Buddies - New instant message and put there this - platishilidrochishyax.im
Press ok and write me a message"
"190.15.197.146",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.14393)","Argentina","AR","Godoy Cruz",-68.84428,-32.92533,"Your computer is encrypted
We encrypted and stolen all of your files.
Open HowToRecover.txt and follow the instructions to recover your files.
Your ID: 331A222BBF16BA80A6D27C4CC2FA8890"
"186.129.97.43",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.19041)","Argentina","AR","Haedo",-58.59212,-34.64239,"Encrypted by BlackBit
All your files have been encrypted due to a security problem with your computer
If you want to restore them, write us to the e-mail: suppblackbitgmail.com
Write this ID in the title of your message: C055A248
In case of no answer in 24 hours write us to this e-mail: suppblackbitonionmail.org"
"200.24.249.56",3389,"tcp","Remote Desktop Protocol",NA,"Argentina","AR","Comodoro Rivadavia",-67.494,-45.86256,"Encrypted by Loki locker
All your files have been encrypted due to a security problem with your computer
If you want to restore them, write us to the e-mail: Zxulansisonionmail.org
Write this ID in the title of your message: CAF4BEA6
In case of no answer in 24 hours write us to this e-mail: Zxulansismailfence.com"
"186.189.229.8",3389,"tcp","Remote Desktop Protocol","Windows Server 2012 R2","Argentina","AR","Buenos Aires",-58.37723,-34.61315,"Encrypted by Loki locker
All your files have been encrypted due to a security problem with your computer
If you want to restore them, write us to the e-mail: Zxulansisonionmail.org
Write this ID in the title of your message: 86C30668
In case of no answer in 24 hours write us to this e-mail: Zxulansismailfence.com
Aceptar
am Windows Server 2012R2"
"88.201.39.47",3389,"tcp","Remote Desktop Protocol","Windows Server 2012 R2","Bahrain","BH","Manama",50.58565,26.22787,"Your computer is encrypted
We encrypted and stolen all of your files.
Open HowToRecover.txt and follow the instructions to recover your files.
Your ID: 1A5D047BE8B81B83A6D27CACC2FA8890
gm Windows Server 2012 R2"
"103.26.136.196",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.19041)","Bangladesh","BD","Dhaka",90.40744,23.7104,"Email : freeworld7001gmail.com
Encryption Number :
TRGBgCL gEv7cS5U730jjru2G-94zBOUO8NkmfvMVXQunbreakable
We Encrypted Your System. Pay If You Want Your Information. Send Me Your ID
Address After Contacting Us"
"86.57.216.114",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.19041)","Belarus","BY","Brest",23.68775,52.09755,"SHAVELPUSSY RANSOMWARE!
Hi!
Have a troubles2
Your personal ID: djupA2qOR-
elVBOTXab6q9qACskvLTIrWEpS 1SQUGUPTOpussylikeashavel-djupA2qOR-
elVBOTXa6q9qACskvLTrWEpS 1SQUGUPTO
We will solve your problem but you need to pay to get your files back
I will show you all possible proofs before payment
Attention!
Do not rename encrypted files.
Do not try to decrypt your data using third party software - it may cause permanent
data loss.
We are always ready to cooperate and find the best way to solve your problem.
If you write in 24h you will have a good discount
Write us
1)Session Private Messenger
You can download it to chat with us
On your server,pc or laptop - getsession.orgdownload
Install it and press PLUS
Write new message
Put there my SESSION ID
0568a6df0e0cecd44aee201a1c3c871be786013afa00bae1ed00b704d98d2a9215
Also you can install this messenger on your phone
SESSION at GOOGLE PLAYAPPSTORE
Install it and add me
0568a6df0e0cecd44aee201a1c3c871be786013afa00bae1ed00b704d98d2a9215
2) TOX messenger (fast and anonymous)
https:tox.chatfdownload.html
Install qtox
Press sign up
Create your own name
nw"
"179.127.27.199",3389,"tcp","Remote Desktop Protocol","Windows Server 2022 (build 10.0.20348)","Brazil","BR","São Paulo",-46.63611,-23.5475,"Your data is encrypted
(Do not scan the files with antivirus in any case. In case of data loss, the
consequences are yours)
Your personal ID:
QAE;jYL82Nc22QHLF5cbZLDCFkOVomAXRewlh2d4TVwFollowme
If you want to recover your files, write us to this e-mail:
yourdatacustodianonionmail.com
yOurdatacustodiancyberfear.com
Attention!
Do not rename encrypted files.
Do not try to decrypt your data using third party software - it may cause permanent
data loss.
We are always ready to cooperate and find the best way to solve your problem.
The faster you write - the more favorable conditions will be for you.
Our company values its reputation. We give all guarantees of your files decryption."
"168.196.133.194",3389,"tcp","Remote Desktop Protocol","Windows Server 2012","Brazil","BR","Itajaí",-48.66194,-26.90778,"Encrypted by Loki locker
All your files have been encrypted due to a security problem with your computer
If you want to restore them, write us to the e-mail: zxulansisonionmail.org
Write this ID in the title of your message: 98FF8EA2
In case of no answer in 24 hours write us to this e-mail: companyadvancmailfence.com
gt Windows Server 2012"
"45.236.242.205",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.17763)","Brazil","BR","Manaus",-60.025,-3.10194,"gl
Your unique ID is: fC7uaQjOLsksnG27KpU90xOS-
kK1bCQAI2AFeiKkmW8platishilidrochishfear.pw
All your files are encrypted and to solve it need to pay
Before payment I can decrypt 1-2 small examples as proof to show you thats
working
My mail is platishilidrochishfear.pw
Also I have a Jabber LIVE MESSENGER if you want to solve it all fast
How to install and use
https:(pidgin.iminstall
Download and install it on your server
Open Pidgin
Press Add
Choose protocol - must be XMPP
In Username - choose your unique login
In domain put this - yax.im
Resource - Work
Password - Choose your own password
Check mark on remember password
Also check mark on CREATE THIS NEW ACCOUNT ON THE SERVER
After it will ask your credentials put them again
Press on Buddies buttom
Add a buddy, field with buddy username write - platishilidrochishyax.im
press add
Press Buddies - New instant message and put there this - platishilidrochishyax.im
Press ok and write me a message"
"191.222.177.91",3389,"tcp","Remote Desktop Protocol","Windows Server 2008 R2 Standard","Brazil","BR","Goiânia",-49.25389,-16.67861,"SHAVELPUSSY RANSOMWARE!
Hi!
Have a troubles
Your personal ID:
C7 vsXcXxW3Kqt9WJfSbP pLztewm02IQIFQ304Z1 kQOY pussylikeashavel-C7 vsXcXxW3KqtOWIFSbP pLztewm02
We will solve your problem but you need to pay to get your files back
I will show you all possible proofs before payment
Attention!
Do not rename encrypted files.
Do not try to decrypt your data using third party software - it may cause permanent data loss.
We are always ready to cooperate and find the best way to solve your problem.
If you write in 24h you will have a good discount
Write us
1)Session Private Messenger
You can download it to chat with us
On your server,pc or laptop - getsession.orgdownload
Install it and press PLUS
Write new message
Put there my SESSION ID
om.
4 Windows Server-2008rz
Standard"
"186.251.124.61",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.19041)","Brazil","BR","Aracruz",-40.27333,-19.82028,"SHAVELPUSSY RANSOMWARE!
Hi!
Have a troubles
Your personal ID: EbP-
eOR1GQwnXqajw7N71XSWxqr2i5CYJ6YjhyBm2Dcpussylikeashavel-EbP-
eOR1GQwnXqajw7N71XSWxqr2i5CYJ6YjhyBm2Dc
We will solve your problem but you need to pay to get your files back
I will show you all possible proofs before payment
Attention!
Do not rename encrypted files.
Do not try to decrypt your data using third party software - it may cause permanent
data loss.
We are always ready to cooperate and find the best way to solve your problem.
If you write in 24h you will have a good discount
Write us
1)Session Private Messenger
You can download it to chat with us
On your server,pc or laptop - getsession.orgdownload
Install it and press PLUS
Write new message
Put there my SESSION ID
0568a6dfle0cecd44aee201a1c3c871be786013afa00bae1ed00b704d98d2a9215
Also you can install this messenger on your phone
SESSION at GOOGLE PLAY7APPSTORE
Install it and add me
0568a6dfle0cecd44aee201a1c3c871be786013afa00bae1ed00b704d98d2a9215
2) TOX messenger (fast and anonymous)
https:ftox.chatdownload.html
Install qtox
Press sign up
Create your own name"
"179.191.117.226",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.14393)","Brazil","BR","São Paulo",-46.63611,-23.5475,"SHAVELPUSSY RANSOMWARE!
gl
Have a troubles2
Your personal ID:
TV 6PBnriX st7L71QjMrSZCbDVdVbNj88byKFrhSgpussylikeashavelcyberfear.com
We will solve your problem but you need to pay to get your files back
I will show you all possible proofs before payment
Attention!
Do not rename encrypted files.
Do not try to decrypt your data using third party software - it may cause permanent
data loss.
We are always ready to cooperate and find the best way to solve your problem.
If you write in 24h you will have a good discount
Write us
1)Mail - pussylikeashavelcyberfear.com
IF WE NOT REPLY DURING 4 HOURS PLZ WRITE TO ANOTHER OUR CONTACTS!
2)Session Private Messenger
You can download it to chat with us
On your server,pc or laptop - getsession.orgdownload
Install it and press PLUS
Write new message
Put there my SESSION ID
0568a6df0e0cecd44aee201a1c3c871be786013afa00bae1ed00b704d98d2a9215
Also you can install this messenger on your phone
SESSION at GOOGLE PLAYAPPSTORE
Install it and add me
0568a6df0e0cecd44aee201a1c3c871be786013afa00bae1ed00b704d98d2a9215
3) TOX messenger (fast and anonymous)
https:tox.chatdownload.html
Install qtox
Press sign up
La A lr"
"190.107.94.192",3389,"tcp","Remote Desktop Protocol","Windows 11 (version 22H2) (build 10.0.22621)","Brazil","BR","Rio de Janeiro",-43.18223,-22.90642,"Redeemer Ransomware - Your Data Is Encrypted
8888888b. 888
888 Y88b 888
888 888 888
888 d88P d88b. .d88888 .d88b. .d88b. 88888b.d88b. .d88b. 8884888
8888888P d8P Y8b d88 888 d8P Y8b d8P Y8b 888 888 88b d8P Y8b 888P
888 T88b 88888888 888 888 88888888 88888888 888 888 888 88888888 888
888 T88b Y8b. Y88b 888 Y8b. Y8b. 888 888 888 Y8b. 888
888 T88b Y8888 Y88888 Y8888 Y8888 888 888 888 Y8888 888
Made by Cerebrate
Visit the official Redeemer Ransomware Tor website -
redeemergd6gjtzgiuf5jgpkk6i3xybkhsldzjoyjaxivyzinhvmzcad.onion
Question 11 What happened to my computer
I cannot access my files and they have changed their extension
Answer 1 Your files have been encrypted by Redeemer, a Darknet ransomware operation.
(Question 2 Is there any way to recover my files2
(Answer 2 Yes, you can recover your files. This will however cost you money in Monero (XMR).
(Question 3) Is there any way to recover my files without paying
(Answer 3 Without paying for the proper decryption key, you will NEVER regain access to your
files.
Redeemer uses the most secure algorithms and a sophisticated encryption scheme which
guarantees security.
Ever since Redeemer was first released publicly (vMay 2021) no one managed to crack the
decryption or
recover their files without paying."
"131.0.116.188",3389,"tcp","Remote Desktop Protocol","Windows Server 2022 (build 10.0.20348)","Brazil","BR","São Paulo",-46.63611,-23.5475,"gl
Your unique ID is: 4ZJBg5jr1KE4J-
bLNMobt27WEQHOvQgJPNFuHoNNsjcplatishilidrochishfear.pw
All your files are encrypted and to solve it need to pay
Before payment I can decrypt 1-2 small examples as proof to show you thats
working
My mail is platishilidrochishfear.pw
Also I have a Jabber LIVE MESSENGER if you want to solve it all fast
How to install and use
https:(pidgin.iminstall
Download and install it on your server
Open Pidgin
Press Add
Choose protocol - must be XMPP
In Username - choose your unique login
In domain put this - yax.im
Resource - Work
Password - Choose your own password
Check mark on remember password
Also check mark on CREATE THIS NEW ACCOUNT ON THE SERVER
After it will ask your credentials put them again
Press on Buddies buttom
Add a buddy, field with buddy username write - platishilidrochishyax.im
press add
Press Buddies - New instant message and put there this - platishilidrochishyax.im
Press ok and write me a message"
"177.38.84.42",3389,"tcp","Remote Desktop Protocol","Windows Server 2008 R2 Standard","Brazil","BR","Boa Esperança",-45.56583,-21.09,"ATTENTION!
Dont worry, you can return all your files!
All your files like pictures, databases, documents and other important are encrypted with strongest
encryption and unique key.
The only method of recovering files is to purchase decrypt tool and unique key for you.
This software will decrypt all your encrypted files.
What guarantees you have
You can send one of your encrypted file from your PC and we decrypt it for free.
But we can decrypt only 1 file for free. File must not contain valuable information.
Do not ask assistants from youtube and another sites,forums for help in recovering your data.
They can use your free decryption quota and scam you.
Our contacts are in this text document only.
You can get and look video overview decrypt tool.
Price of private key and decryption software depends on your data
Discount 50 available if you contact us first 48 hours
om.
4 Windows Server-2008rz
Standard"
"168.121.73.123",3389,"tcp","Remote Desktop Protocol","Windows 11 (build 10.0.26100)","Brazil","BR","Araranguá",-49.49538,-28.93575,"Encrypted by trust
Email us for recovery: decryptinformationsgmail.com
In case of no answer, send to this email: decryptinformationsprotonmail.com
Your unqiue ID:
ACCCCADF96E09D5788C4E874D1EAD807"
"45.236.242.228",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.19041)","Brazil","BR","Manaus",-60.025,-3.10194,"ATTENTION!
Dont worry, you can return all your files!
All your files like pictures, databases, documents and other important are encrypted
with strongest encryption and unique key.
The only method of recovering files is to purchase decrypt tool and unique key for
you.
This software will decrypt all your encrypted files.
What guarantees you have
You can send one of your encrypted file from your PC and we decrypt it for free.
But we can decrypt only 1 file for free. File must not contain valuable information.
Do not ask assistants from youtube and another sites,forums for help in recovering
your data.
They can use your free decryption quota and scam you.
Our contacts are in this text document only.
You can get and look video overview decrypt tool.
Price of private key and decryption software depends on your data
Discount 50 available if you contact us first 48 hours
Please note that youll never restore your data without payment.
Check your e-mail Spam or Junk folder if you dont get answer more than 6
hours.
We recommend to use GMAIL
To get this software you need write on our e-mail:
1)Mail - happynewyearcyberfear.com
LEYTE CYT YEW YET STW EY CRT SI VIE REEL YL LE 2 PN WE NY aide eile ele led ee ell"
"46.40.126.252",3389,"tcp","Remote Desktop Protocol","Windows Server 2012","Bulgaria","BG","Sofia",23.32415,42.69751,"All your files have been encrypted
If you want to restore them, write us to the e-mail black privatetuta.io
or:
kingkong2tuta.io (Backup mail)
gt Windows Server 2012"
"184.71.55.6",3389,"tcp","Remote Desktop Protocol","Windows Server 2008 R2 Standard","Canada","CA","Calgary",-114.08529,51.05011,"ATTENTION!!! Read Before Login
Your system has been hacked !!! Your system files are encrypted. An attempt to recover files on your own will
result in their complete loss. You urgently need to notify the management of your company about the
incident. Mail for communication: ihavenobackupgmail.com or 911filesonionmail.org!!!ONLY WE have the
recovery keys, before agreeing on the cost from the data recovery companies, ask OUR price
4 Windows Server-2008rz
Standard"
"200.75.3.214",3389,"tcp","Remote Desktop Protocol","Windows Server 2012","Chile","CL","Santiago",-70.64827,-33.45694,"Happynewyear!
Hi!
All your files are encrypted!
Your decryption ID: weTC24q9SDwGcW51PLxMg-
mTHOICIlgkap7pmdD2mAhappynewyearQcyberfear.com
We will solve your problem but you need to pay to get your files back
Write us
1)Mail - happynewyearcyberfear.com
IF WE NOT REPLY DURING 4 HOURS PLZ WRITE TO ANOTHER OUR CONTACTS!
2)Session Private Messenger
You can download it to chat with us
On your server,pc or laptop - getsession.orgdownload
Install it and press PLUS
Write new message
Put there my SESSION ID
051909b26545b29afa7684eaBadacla47fdabac775ea294175cb5d38e4e26a8a78
Also you can install this messenger on your phone
SESSION at GOOGLE PLAYAPPSTORE
Install it and add me
051909b26545b29afa7684eaBadacla47fdabac775ea294175cb5d38e4e26a8a78
3) TOX messenger (fast and anonymous)
https:ftox.chatdownload.html
Install qtox
Press sign up
Create your own name
Press plus
Put there our tox ID:
BF9320303596816BB78AF97E2420E6ECB342B0C4D23D540163A4E3E48819772606F4BEF3ES
A4
And add mewrite message
gt Windows Server 2012"
"170.150.141.6",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.14393)","Chile","CL","Santiago",-70.64827,-33.45694,"gl
Have a troubles2
Your personal ID: SQkcISVnUStROtM4hXYSajyUCNugPegfaGOyErsi-
wsELONMUSKISGREEDY-SQkcl5VnUStROtM4hXYSajyUCNuqPegfaGOyEr51-ws
We will solve your problem but you need to pay to get your files back
I will show you all possible proofs before payment
Attention!
Do not rename encrypted files.
Do not try to decrypt your data using third party software - it may cause permanent
data loss.
We are always ready to cooperate and find the best way to solve your problem.
If you write in 24h you will have a good discount
Write us
1)Session Private Messenger
You can download it to chat with us
On your server,pc or laptop - getsession.orgdownload
Install it and press PLUS
Write new message
Put there my SESSION ID
0568a6df0e0cecd44aee201a1c3c871be786013afa00bae1ed00b704d98d2a9215
Also you can install this messenger on your phone
SESSION at GOOGLE PLAYAPPSTORE
Install it and add me
0568a6df0e0cecd44aee201a1c3c871be786013afa00bae1ed00b704d98d2a9215
2) TOX messenger (fast and anonymous)
https:tox.chatdownload.html
Install qtox
Press sign up
Create your own name
Press plus
Put there our tox ID:
(aL NaF WN Walola RR Fala of Nal ee ee ee ee ee ey loin faint latal oa aYaloVal ala RN WoW loll oVo WF By laVal Toll Fad of at IBY J"
"14.29.187.161",3389,"tcp","Remote Desktop Protocol","Windows (build 6.3.9600)","China","CN","Shenzhen",114.0683,22.54554,"Administrator
Enter password
Enter password for the encrypted file:
RE(BJEll.bat
Se Rasa, iasszl"
"140.246.103.236",3389,"tcp","Remote Desktop Protocol","Windows (build 6.3.9600)","China","CN","Chongqing",106.55771,29.56026,"Administrator
Enter password
Enter password for the encrypted file:
cmd.exe
Se Rasa, iasszl"
"101.42.46.111",3389,"tcp","Remote Desktop Protocol","Windows Server 2012 R2","China","CN","Beijing",116.39723,39.9075,"Hello my dear friend (Do not scan the files with antivirus in any case. In case of data loss, the consequences are
yours)
Your data is encrypted
Your personal ID: Wq9VnKFCrzyPRifJaRdIIGIOIFMn YbDmka4GhVOdRoDemetro9990cock.li
Unfortunately for you, a major IT security weakness left you open to attack, your files have been encrypted
The only method of recovering files is to purchase decrypt tool and unique key for you.
Write to our mail - Demetro9990cock.li
In case of no answer in 24 hours write us to this backup e-mail: Symbatutanota.com
Check your e-mail Spam or Junk folder if you dont get answer more than 6 hours.
Contact us soon, because those who dont have their data leaked in our press release blog and the price they!ll
have to pay will go up significantly.
Attention!
Do not rename encrypted files.
Do not try to decrypt your data using third party software - it may cause permanent cata loss.
We are always ready to cooperate and find the best way to solve your problem.
The faster you write - the more favorable conditions will be for you.
Our company values its reputation. We give all guarantees of your files decryption.
What are your recommendations
- Never change the name of the files, if you want to manipulate the files, be sure to back them up. If there are
any problems with the files, we are not responsible for them.
- Never work with intermediary companies because they charge you more money.Dont be afraid of us, just
email us.
Sensitive data on your system was DOWNLOADED.
If you DONT WANT your sensitive data to be PUBLISHED you have to act quickly.
Data includes:
- Employees personal data, CVs, DL, SSN.
- Complete network map including credentials for local and remote services.
- Private financial information including: clients data, bills, budgets, annual reports, bank statements.
- Manufacturing documents including: datagrams, schemas, drawings in solidworks format
- And more...
gm Windows Server 2012 R2"
"218.13.137.68",3389,"tcp","Remote Desktop Protocol","Windows 7 Ultimate","China","CN","Foshan",113.13148,23.02677,"Hello my dear friend (Do not scan the files with antivirus in any case. In case of data loss, the 4
consequences are yours)
Your data is encrypted by ELPACO-team
Your decryption ID is
1VwEuaf39rHCMFGQorXrVuBbNmyQIdWIGj6QDSSGdXUELPACO-team-1VwEuaf39rHCMFGQorXr
Unfortunately for you, a major IT security weakness left you open to attack, your files have been
encrypted
The only method of recovering files is to purchase decrypt tool and unique key for you.
If you want to recover your files, write us
1) eMail - elcappuccinotuta.io h
2) Telegram - Stop.24
Attention!
Do not rename encrypted files.
Do not try to decrypt your data using third party software - it may cause permanent data loss. 5
CA Tale le SW A de"
"218.62.192.243",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.17763)","China","CN","Shanghai",121.45806,31.22222,"Your computer is encrypted
We encrypted and stolen all of your files.
Open HowToRecover.txt and follow the instructions to recover your files.
Your ID: 760B58FAFBD3739A461C8B03D35B168C"
"222.174.47.130",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.17763)","China","CN","Shanghai",121.45806,31.22222,"Encrypted by BlackBit
All your files have been encrypted due to a security problem with your
computer
If you want to restore them, write us to the e-mail: razecryptonionmail.org
Write this ID in the title of your message: 7CEFC670
In case of no answer in 24 hours write us to this e-mail:
razecryptmailfence.com"
"183.62.130.14",3389,"tcp","Remote Desktop Protocol","Windows Server 2012 R2","China","CN","Shenzhen",114.0683,22.54554,"YOUR BUSINESS IS LOSING MONEY!!!
THE ENTIRE NETWORK IS ENCRYPTED YOUR BUSINESS IS LOSING MONEY
gm Windows Server 2012 R2"
"200.6.160.251",3389,"tcp","Remote Desktop Protocol","Windows Server 2012 R2","Colombia","CO","Cúcuta",-72.50782,7.89391,"Encrypted by Loki locker
All your files have been encrypted due to a security problem with your computer
If you want to restore them, write us to the e-mail: moonligatutamail.com
Write this ID in the title of your message: 4232C327
In case of no answer in 24 hours write us to this e-mail: Safelifetutanota.com
Aceptar
gm Windows Server 2012 R2"
"177.255.234.71",3389,"tcp","Remote Desktop Protocol","Windows (build 10.0.19041)","Colombia","CO","Manizales",-75.51738,5.06889,"ATTENTION!
Dont worry, you can return all your files!
All your files like pictures, databases, documents and other important are encrypted
with strongest encryption and unique key.
The only method of recovering files is to purchase decrypt tool and unique key for
you.
This software will decrypt all your encrypted files.
What guarantees you have
You can send one of your encrypted file from your PC and we decrypt it for free.
But we can decrypt only 1 file for free. File must not contain valuable information.
Do not ask assistants from youtube and another sites,forums for help in recovering
your data.
They can use your free decryption quota and scam you.
Our contacts are in this text document only.
You can get and look video overview decrypt tool.
Price of private key and decryption software depends on your data
Discount 50 available if you contact us first 48 hours
Please note that youll never restore your data without payment.
Check your e-mail Spam or Junk folder if you dont get answer more than 6
hours.
We recommend to use GMAIL
To get this software you need write on our e-mail:
1)Mail - happynewyearcyberfear.com
LEYTE CYT YEW YET STW EY CRT SI VIE REEL YL LE 2 PN WE NY aide eile ele led ee ell"
"190.250.143.238",3389,"tcp","Remote Desktop Protocol","Windows Server 2012 R2","Colombia","CO","Medellín",-75.56359,6.25184,"Your computer is encrypted
We encrypted and stolen all of your files.
Open HowToRecover.txt and follow the instructions to recover your files.
Your ID: 441220968F028F8235F23CACB380621A
Aceptar
am Windows Server 2012R2"
"37.221.244.10",3389,"tcp","Remote Desktop Protocol","Windows Server 2008 R2 Standard","Czechia","CZ","Prague",14.42076,50.08804,"Your computer is encrypted
We encrypted and stolen all of your files.
Open HowToRecover.txt and follow the instructions to recover your files.
Your ID: A31BA4526107EEA335F23CACB380621A
4 Windows Server-2008rz
Standard"
